NS	CS	US	US_sound	condition	trial	valence	epsiode_nr
A39_glasses01a.png	21_bowl.png	negative_11_feces.png	negative_11_feces.wav	1	1	1	1
A38_garlic01a.png	14_workbench.png	negative_13_mouth.png	negative_13_mouth.wav	1	2	1	2
A09_branch02.png	15_parkbench.png	negative_09_shot.png	negative_09_shot.wav	1	3	1	3
A35_makeupbrush.png	19_bag.png	negative_19_whip.png	negative_19_whip.wav	1	4	1	4
A13_cardboardbox.png	27_basket.png	negative_08_car.png	negative_08_car.wav	2	1	1	5
A36_fryingpan02a.png	33_speaker.png	negative_17_hanged.png	negative_17_hanged.wav	2	2	1	6
A33_flask.png	23_coffeepot.png	negative_06_drown.png	negative_06_drown.wav	2	3	1	7
A05_bikehelmet.png	34_umbrella.png	negative_01_vomit.png	negative_01_vomit.wav	2	4	1	8
A24_lightswitch.png	04_beer.png	negative_04_burns.png	negative_04_burns.wav	3	1	1	9
A07_boot02b.png	08_gem.png	negative_14_hook.png	negative_14_hook.wav	3	2	1	10
A12_candle08b.png	31_pen.png	negative_12_eye.png	negative_12_eye.wav	3	3	1	11
A29_envelope03a.png	22_clothespin.png	negative_10_leg.png	negative_10_leg.wav	3	4	1	12
A23_dishsoap.png	39_pingpongpaddle.png	negative_20_cat.png	negative_20_cat.wav	4	1	1	13
A04_baseball01b.png	20_racket.png	negative_16_foot.png	negative_16_foot.wav	4	2	1	14
A26_dvdcase02b.png	03_barbecue.png	negative_15_plane.png	negative_15_plane.wav	4	3	1	15
A34_flyswatter.png	38_watch.png	negative_05_surgery.png	negative_05_surgery.wav	4	4	1	16
A40_globe.png	16_spatula.png	negative_07_abuse.png	negative_07_abuse.wav	5	1	1	17
A21_cuttingboard.png	26_lamp.png	negative_03_dog.png	negative_03_dog.wav	5	2	1	18
A17_clock01a.png	09_woodencrate.png	negative_18_chainsaw.png	negative_18_chainsaw.wav	5	3	1	19
A28_electricrazor.png	11_teddy.png	negative_02_baby.png	negative_02_baby.wav	5	4	1	20
A30_exercisebench.png	28_bulb.png	neutral_20_cat.png	neutral_20_cat.wav	6	1	2	21
A32_flashlight02b.png	10_compass.png	neutral_19_market.png	neutral_19_market.wav	6	2	2	22
A03_banana01.png	30_notebook.png	neutral_03_dog.png	neutral_03_dog.wav	6	3	2	23
A19_comb02a.png	35_wateringcan.png	neutral_08_car.png	neutral_08_car.wav	6	4	2	24
A18_coin01b.png	17_spaghetti.png	neutral_04_lighter.png	neutral_04_lighter.wav	7	1	2	25
A14_chalkboard01.png	29_magnifier.png	neutral_05_shave.png	neutral_05_shave.wav	7	2	2	26
A08_bracelet01.png	05_leaf.png	neutral_11_soup.png	neutral_11_soup.wav	7	3	2	27
A11_camera03a.png	12_goose.png	neutral_10_walk.png	neutral_10_walk.wav	7	4	2	28
A15_chalkboarderaser01.png	32_printer.png	neutral_16_cheese.png	neutral_16_cheese.wav	8	1	2	29
A01_armchair01.png	24_mouse.png	neutral_18_hammer.png	neutral_18_hammer.wav	8	2	2	30
A25_dustpan.png	01_brush.png	neutral_17_bike.png	neutral_17_bike.wav	8	3	2	31
A31_filmnegative.png	36_sandwich.png	neutral_12_slice.png	neutral_12_slice.wav	8	4	2	32
A06_birdie.png	37_cup.png	neutral_14_pulley.png	neutral_14_pulley.wav	9	1	2	33
A16_champagne.png	18_binoculars.png	neutral_13_toothbrush.png	neutral_13_toothbrush.wav	9	2	2	34
A02_avocado02.png	07_tree.png	neutral_02_baby.png	neutral_02_baby.wav	9	3	2	35
A27_egg01a.png	40_toiletpaper.png	neutral_07_student.png	neutral_07_student.wav	9	4	2	36
A22_dice05a.png	06_guitar.png	neutral_01_egg.png	neutral_01_egg.wav	10	1	2	37
A20_cooler01.png	02_chain.png	neutral_15_plane.png	neutral_15_plane.wav	10	2	2	38
A37_mask.png	25_headphones.png	neutral_09_forrest.png	neutral_09_forrest.wav	10	3	2	39
A10_calculator01.png	13_rollator.png	neutral_06_swim.png	neutral_06_swim.wav	10	4	2	40
