CS	US	US_sound	condition	episode_nr	valence
11_teddy.jpg	negative_15_plane.jpeg	negative_15_plane.wav	1	1	1
23_coffeepot.jpg	negative_20_cat.jpeg	negative_20_cat.wav	1	2	1
24_mouse.jpg	negative_08_car.jpeg	negative_08_car.wav	1	3	1
28_bulb.jpg	negative_17_hanged.jpeg	negative_17_hanged.wav	1	4	1
25_headphones.jpg	negative_16_foot.jpeg	negative_16_foot.wav	1	5	1
35_wateringcan.jpg	negative_11_feces.jpeg	negative_11_feces.wav	1	6	1
17_spaghetti.jpg	negative_02_baby.jpeg	negative_02_baby.wav	2	7	1
29_magnifier.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	2	8	1
05_leaf.jpg	negative_03_dog.jpeg	negative_03_dog.wav	2	9	1
12_goose.jpg	negative_04_burns.jpeg	negative_04_burns.wav	2	10	1
16_spatula.jpg	negative_09_shot.jpeg	negative_09_shot.wav	2	11	1
14_workbench.jpg	negative_12_eye.jpeg	negative_12_eye.wav	2	12	1
31_pen.jpg	neutral_15_plane.jpeg	neutral_15_plane.wav	4	19	2
18_binoculars.jpg	neutral_04_lighter.jpeg	neutral_04_lighter.wav	4	20	2
09_woodencrate.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	4	21	2
22_clothespin.jpg	neutral_10_walk.jpeg	neutral_10_walk.wav	4	22	2
26_lamp.jpg	neutral_19_market.jpeg	neutral_19_market.wav	4	23	2
06_guitar.jpg	neutral_02_baby.jpeg	neutral_02_baby.wav	4	24	2
34_umbrella.jpg	neutral_08_car.jpeg	neutral_08_car.wav	5	25	2
19_bag.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	5	26	2
04_beer.jpg	neutral_03_dog.jpeg	neutral_03_dog.wav	5	27	2
10_compass.jpg	neutral_13_toothbrush.jpeg	neutral_13_toothbrush.wav	5	28	2
07_tree.jpg	neutral_06_swim.jpeg	neutral_06_swim.wav	5	29	2
15_parkbench.jpg	neutral_09_forrest.jpeg	neutral_09_forrest.wav	5	30	2
