context	CS	US	US_sound	condition	trial	valence
ContextA38.jpg	22_clothespin.jpg	negative_10_leg.jpeg	negative_10_leg.wav	1	1	1
ContextA19.jpg	39_pingpongpaddle.jpg	negative_16_foot.jpeg	negative_16_foot.wav	1	2	1
ContextA13.jpg	12_goose.jpg	negative_12_eye.jpeg	negative_12_eye.wav	1	3	1
ContextA27.jpg	28_bulb.jpg	negative_11_feces.jpeg	negative_11_feces.wav	1	4	1
ContextA36.jpg	26_lamp.jpg	negative_15_plane.jpeg	negative_15_plane.wav	2	1	1
ContextA41.jpg	17_spaghetti.jpg	negative_08_car.jpeg	negative_08_car.wav	2	2	1
ContextA55.jpg	16_spatula.jpg	negative_01_vomit.jpeg	negative_01_vomit.wav	2	3	1
ContextA16.jpg	20_racket.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	2	4	1
ContextA20.jpg	31_pen.jpg	negative_17_hanged.jpeg	negative_17_hanged.wav	3	1	1
ContextA11.jpg	40_toiletpaper.jpg	negative_02_baby.jpeg	negative_02_baby.wav	3	2	1
ContextA43.jpg	18_binoculars.jpg	negative_14_hook.jpeg	negative_14_hook.wav	3	3	1
ContextA45.jpg	36_sandwich.jpg	negative_07_abuse.jpeg	negative_07_abuse.wav	3	4	1
ContextA07.jpg	03_barbecue.jpg	negative_04_burns.jpeg	negative_04_burns.wav	4	1	1
ContextA39.jpg	30_notebook.jpg	negative_06_drown.jpeg	negative_06_drown.wav	4	2	1
ContextA44.jpg	09_woodencrate.jpg	negative_03_dog.jpeg	negative_03_dog.wav	4	3	1
ContextA03.jpg	13_rollator.jpg	negative_19_whip.jpeg	negative_19_whip.wav	4	4	1
ContextA05.jpg	34_umbrella.jpg	neutral_14_pulley.jpeg	neutral_14_pulley.wav	6	1	2
ContextA29.jpg	08_gem.jpg	neutral_10_walk.jpeg	neutral_10_walk.wav	6	2	2
ContextA46.jpg	02_chain.jpg	neutral_17_bike.jpeg	neutral_17_bike.wav	6	3	2
ContextA06.jpg	04_beer.jpg	neutral_08_car.jpeg	neutral_08_car.wav	6	4	2
ContextA02.jpg	35_wateringcan.jpg	neutral_20_cat.jpeg	neutral_20_cat.wav	7	1	2
ContextA42.jpg	21_bowl.jpg	neutral_05_shave.jpeg	neutral_05_shave.wav	7	2	2
ContextA01.jpg	14_workbench.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	7	3	2
ContextA35.jpg	27_basket.jpg	neutral_09_forrest.jpeg	neutral_09_forrest.wav	7	4	2
ContextA37.jpg	25_headphones.jpg	neutral_07_student.jpeg	neutral_07_student.wav	8	1	2
ContextA54.jpg	37_cup.jpg	neutral_15_plane.jpeg	neutral_15_plane.wav	8	2	2
ContextA51.jpg	38_watch.jpg	neutral_12_slice.jpeg	neutral_12_slice.wav	8	3	2
ContextA26.jpg	15_parkbench.jpg	neutral_03_dog.jpeg	neutral_03_dog.wav	8	4	2
ContextA25.jpg	07_tree.jpg	neutral_01_egg.jpeg	neutral_01_egg.wav	9	1	2
ContextA50.jpg	10_compass.jpg	neutral_13_toothbrush.jpeg	neutral_13_toothbrush.wav	9	2	2
ContextA33.jpg	05_leaf.jpg	neutral_04_lighter.jpeg	neutral_04_lighter.wav	9	3	2
ContextA30.jpg	06_guitar.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	9	4	2
