NS	CS	US	US_sound	condition	trial	valence	epsiode_nr
A16_champagne.png	32_printer.png	negative_11_feces.png	negative_11_feces.wav	1	1	1	1
A11_camera03a.png	33_speaker.png	negative_08_car.png	negative_08_car.wav	1	2	1	2
A14_chalkboard01.png	34_umbrella.png	negative_15_plane.png	negative_15_plane.wav	1	3	1	3
A09_branch02.png	37_cup.png	negative_18_chainsaw.png	negative_18_chainsaw.wav	1	4	1	4
A27_egg01a.png	13_rollator.png	negative_03_dog.png	negative_03_dog.wav	2	1	1	5
A32_flashlight02b.png	17_spaghetti.png	negative_01_vomit.png	negative_01_vomit.wav	2	2	1	6
A40_globe.png	05_leaf.png	negative_17_hanged.png	negative_17_hanged.wav	2	3	1	7
A18_coin01b.png	18_binoculars.png	negative_02_baby.png	negative_02_baby.wav	2	4	1	8
A21_cuttingboard.png	19_bag.png	negative_19_whip.png	negative_19_whip.wav	3	1	1	9
A12_candle08b.png	20_racket.png	negative_13_mouth.png	negative_13_mouth.wav	3	2	1	10
A31_filmnegative.png	29_magnifier.png	negative_07_abuse.png	negative_07_abuse.wav	3	3	1	11
A29_envelope03a.png	07_tree.png	negative_10_leg.png	negative_10_leg.wav	3	4	1	12
A08_bracelet01.png	27_basket.png	negative_06_drown.png	negative_06_drown.wav	4	1	1	13
A07_boot02b.png	06_guitar.png	negative_05_surgery.png	negative_05_surgery.wav	4	2	1	14
A17_clock01a.png	38_watch.png	negative_12_eye.png	negative_12_eye.wav	4	3	1	15
A05_bikehelmet.png	28_bulb.png	negative_14_hook.png	negative_14_hook.wav	4	4	1	16
A33_flask.png	16_spatula.png	negative_04_burns.png	negative_04_burns.wav	5	1	1	17
A30_exercisebench.png	08_gem.png	negative_20_cat.png	negative_20_cat.wav	5	2	1	18
A28_electricrazor.png	02_chain.png	negative_09_shot.png	negative_09_shot.wav	5	3	1	19
A03_banana01.png	03_barbecue.png	negative_16_foot.png	negative_16_foot.wav	5	4	1	20
A04_baseball01b.png	09_woodencrate.png	neutral_12_slice.png	neutral_12_slice.wav	6	1	2	21
A01_armchair01.png	25_headphones.png	neutral_14_pulley.png	neutral_14_pulley.wav	6	2	2	22
A10_calculator01.png	11_teddy.png	neutral_07_student.png	neutral_07_student.wav	6	3	2	23
A36_fryingpan02a.png	14_workbench.png	neutral_18_hammer.png	neutral_18_hammer.wav	6	4	2	24
A13_cardboardbox.png	12_goose.png	neutral_17_bike.png	neutral_17_bike.wav	7	1	2	25
A34_flyswatter.png	22_clothespin.png	neutral_11_soup.png	neutral_11_soup.wav	7	2	2	26
A26_dvdcase02b.png	35_wateringcan.png	neutral_08_car.png	neutral_08_car.wav	7	3	2	27
A23_dishsoap.png	31_pen.png	neutral_13_toothbrush.png	neutral_13_toothbrush.wav	7	4	2	28
A20_cooler01.png	24_mouse.png	neutral_06_swim.png	neutral_06_swim.wav	8	1	2	29
A39_glasses01a.png	30_notebook.png	neutral_01_egg.png	neutral_01_egg.wav	8	2	2	30
A25_dustpan.png	04_beer.png	neutral_02_baby.png	neutral_02_baby.wav	8	3	2	31
A06_birdie.png	15_parkbench.png	neutral_10_walk.png	neutral_10_walk.wav	8	4	2	32
A37_mask.png	40_toiletpaper.png	neutral_04_lighter.png	neutral_04_lighter.wav	9	1	2	33
A22_dice05a.png	01_brush.png	neutral_20_cat.png	neutral_20_cat.wav	9	2	2	34
A35_makeupbrush.png	39_pingpongpaddle.png	neutral_05_shave.png	neutral_05_shave.wav	9	3	2	35
A38_garlic01a.png	21_bowl.png	neutral_15_plane.png	neutral_15_plane.wav	9	4	2	36
A02_avocado02.png	26_lamp.png	neutral_19_market.png	neutral_19_market.wav	10	1	2	37
A19_comb02a.png	36_sandwich.png	neutral_03_dog.png	neutral_03_dog.wav	10	2	2	38
A15_chalkboarderaser01.png	23_coffeepot.png	neutral_16_cheese.png	neutral_16_cheese.wav	10	3	2	39
A24_lightswitch.png	10_compass.png	neutral_09_forrest.png	neutral_09_forrest.wav	10	4	2	40
