CS	US	US_sound	condition	episode_nr	valence
21_bowl.jpg	negative_09_shot.jpeg	negative_09_shot.wav	1	1	1
03_barbecue.jpg	negative_04_burns.jpeg	negative_04_burns.wav	1	2	1
32_printer.jpg	negative_08_car.jpeg	negative_08_car.wav	1	3	1
28_bulb.jpg	negative_07_abuse.jpeg	negative_07_abuse.wav	1	4	1
25_headphones.jpg	negative_19_whip.jpeg	negative_19_whip.wav	1	5	1
36_sandwich.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	1	6	1
22_clothespin.jpg	negative_17_hanged.jpeg	negative_17_hanged.wav	2	7	1
18_binoculars.jpg	negative_05_surgery.jpeg	negative_05_surgery.wav	2	8	1
19_bag.jpg	negative_03_dog.jpeg	negative_03_dog.wav	2	9	1
06_guitar.jpg	negative_20_cat.jpeg	negative_20_cat.wav	2	10	1
29_magnifier.jpg	negative_18_chainsaw.jpeg	negative_18_chainsaw.wav	2	11	1
27_basket.jpg	negative_10_leg.jpeg	negative_10_leg.wav	2	12	1
31_pen.jpg	neutral_12_slice.jpeg	neutral_12_slice.wav	4	19	2
34_umbrella.jpg	neutral_08_car.jpeg	neutral_08_car.wav	4	20	2
14_workbench.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	4	21	2
10_compass.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	4	22	2
26_lamp.jpg	neutral_03_dog.jpeg	neutral_03_dog.wav	4	23	2
07_tree.jpg	neutral_19_market.jpeg	neutral_19_market.wav	4	24	2
16_spatula.jpg	neutral_20_cat.jpeg	neutral_20_cat.wav	5	25	2
05_leaf.jpg	neutral_10_walk.jpeg	neutral_10_walk.wav	5	26	2
04_beer.jpg	neutral_09_forrest.jpeg	neutral_09_forrest.wav	5	27	2
30_notebook.jpg	neutral_04_lighter.jpeg	neutral_04_lighter.wav	5	28	2
01_brush.jpg	neutral_15_plane.jpeg	neutral_15_plane.wav	5	29	2
20_racket.jpg	neutral_06_swim.jpeg	neutral_06_swim.wav	5	30	2
